[461264.90308776224, 397357.23417916824, 378564.3445429702, 375973.3445429702, 312001.6756343762, 201076.22745338612]	[-770468.0269031283, -791869.9165393264, -470841.57199635624, -1262711.4885356831, -920281.2543565143, -963085.0336289104]	[-53841.0, -52996.0, -54482.0, -52775.0, -56498.0, -53296.0]	[799, 3199, 4799, 13599, 19999, 22399]
[332740.5652705742, 331852.5652705741, 312543.6756343761, 289214.7859981782, 244847.00672578212, 118331.66890859405]	[-963085.0336289102, -1262711.488535683, -470841.57199635624, -791869.9165393264, -791869.9165393262, -642056.6890859404]	[-54903.0, -56996.0, -54144.0, -56250.0, -59479.0, -56610.0]	[1599, 51999, 61599, 107999, 311199, 377599]
[397597.23417916824, 246428.00672578215, 143335.55854479206]	[-1091496.3714460984, -599252.9098135442, -963085.0336289102]	[-56818.0, -57307.0, -60086.0]	[799, 10399, 103199]
[356562.45490677224, 351741.45490677224, 335594.5652705742, 316500.6756343762, 248604.00672578215, 243813.00672578215]	[-877477.4750841183, -813271.8061755243, -791869.9165393264, -984486.9232651084, -1048692.5921737023, -877477.4750841183]	[-58875.0, -57869.0, -53264.0, -56105.0, -58249.0, -51408.0]	[799, 3199, 22399, 31999, 39999, 69599]
[396913.23417916824, 395985.23417916824, 357113.45490677224, 356373.4549067722, 355674.45490677224, 334467.5652705742, 291200.7859981782, 229260.11708958412, 205229.22745338612]	[-1455328.4952614654, -984486.9232651085, -1305515.267808079, -813271.8061755244, -856075.5854479204, -1305515.2678080793, -727664.2476307324, -1498132.2745338618, -898879.3647203163]	[-55350.0, -54984.0, -56154.0, -59121.0, -59765.0, -52875.0, -55833.0, -57095.0, -56556.0]	[799, 7199, 8799, 16799, 30399, 45599, 67999, 206399, 224799]
[441660.01345156424, 355070.4549067722, 353726.45490677224, 311920.6756343762, 266863.8963619801, 266333.8963619801, 183354.3378171881]	[-1433926.6056252674, -556449.1305411482, -834673.6958117225, -920281.2543565144, -706262.3579945342, -1219907.7092632868, -791869.9165393263]	[-61941.0, -54796.0, -59214.0, -54811.0, -56641.0, -55922.0, -54097.0]	[3199, 3999, 4799, 11199, 53599, 493599, 584799]
[483285.7927239603, 333314.5652705742, 332429.5652705742, 311313.6756343762, 291347.7859981782, 248981.00672578215]	[-1134300.1507184946, -1070094.4818099004, -1262711.4885356831, -1476730.3848976635, -1005888.8129013064, -663458.5787221382]	[-56679.0, -56426.0, -58724.0, -55408.0, -59345.0, -51508.0]	[799, 1599, 4799, 145599, 156799, 305599]
[333669.5652705742, 292210.7859981782, 250179.00672578215, 246385.00672578215, 224184.11708958412]	[-963085.0336289102, -1027290.7025375043, -856075.5854479203, -1091496.3714460984, -1027290.7025375045]	[-60301.0, -57804.0, -56536.0, -62030.0, -50720.0]	[2399, 16799, 95999, 543999, 603999]
[424362.1238153662, 422664.1238153662, 375922.3445429702, 354976.45490677224, 354757.45490677224, 354416.45490677224, 288506.7859981782, 161349.44818099006]	[-577851.0201773463, -535047.2409049502, -706262.3579945343, -1048692.5921737025, -877477.4750841187, -984486.9232651085, -1284113.378171881, -834673.6958117222]	[-53574.0, -59758.0, -55103.0, -53346.0, -53056.0, -53835.0, -54694.0, -52110.0]	[799, 3199, 4799, 8799, 26399, 61599, 97599, 304799]
[287916.7859981782, 273370.8963619801, 269116.8963619801, 245577.00672578215]	[-1070094.4818099004, -920281.2543565143, -1048692.5921737025, -791869.9165393262]	[-59515.0, -60160.0, -58564.0, -56492.0]	[75199, 328799, 487999, 501599]
[461264.90308776224, 397357.23417916824, 378564.3445429702, 375973.3445429702, 312001.6756343762, 201076.22745338612]	[-770468.0269031283, -791869.9165393264, -470841.57199635624, -1262711.4885356831, -920281.2543565143, -963085.0336289104]	[-53841.0, -52996.0, -54482.0, -52775.0, -56498.0, -53296.0]	[799, 3199, 4799, 13599, 19999, 22399]
[332740.5652705742, 331852.5652705741, 312543.6756343761, 289214.7859981782, 244847.00672578212, 118331.66890859405]	[-963085.0336289102, -1262711.488535683, -470841.57199635624, -791869.9165393264, -791869.9165393262, -642056.6890859404]	[-54903.0, -56996.0, -54144.0, -56250.0, -59479.0, -56610.0]	[1599, 51999, 61599, 107999, 311199, 377599]
[397597.23417916824, 246428.00672578215, 143335.55854479206]	[-1091496.3714460984, -599252.9098135442, -963085.0336289102]	[-56818.0, -57307.0, -60086.0]	[799, 10399, 103199]
[356562.45490677224, 351741.45490677224, 335594.5652705742, 316500.6756343762, 248604.00672578215, 243813.00672578215]	[-877477.4750841183, -813271.8061755243, -791869.9165393264, -984486.9232651084, -1048692.5921737023, -877477.4750841183]	[-58875.0, -57869.0, -53264.0, -56105.0, -58249.0, -51408.0]	[799, 3199, 22399, 31999, 39999, 69599]
[396913.23417916824, 395985.23417916824, 357113.45490677224, 356373.4549067722, 355674.45490677224, 334467.5652705742, 291200.7859981782, 229260.11708958412, 205229.22745338612]	[-1455328.4952614654, -984486.9232651085, -1305515.267808079, -813271.8061755244, -856075.5854479204, -1305515.2678080793, -727664.2476307324, -1498132.2745338618, -898879.3647203163]	[-55350.0, -54984.0, -56154.0, -59121.0, -59765.0, -52875.0, -55833.0, -57095.0, -56556.0]	[799, 7199, 8799, 16799, 30399, 45599, 67999, 206399, 224799]
[441660.01345156424, 355070.4549067722, 353726.45490677224, 311920.6756343762, 266863.8963619801, 266333.8963619801, 183354.3378171881]	[-1433926.6056252674, -556449.1305411482, -834673.6958117225, -920281.2543565144, -706262.3579945342, -1219907.7092632868, -791869.9165393263]	[-61941.0, -54796.0, -59214.0, -54811.0, -56641.0, -55922.0, -54097.0]	[3199, 3999, 4799, 11199, 53599, 493599, 584799]
[483285.7927239603, 333314.5652705742, 332429.5652705742, 311313.6756343762, 291347.7859981782, 248981.00672578215]	[-1134300.1507184946, -1070094.4818099004, -1262711.4885356831, -1476730.3848976635, -1005888.8129013064, -663458.5787221382]	[-56679.0, -56426.0, -58724.0, -55408.0, -59345.0, -51508.0]	[799, 1599, 4799, 145599, 156799, 305599]
[333669.5652705742, 292210.7859981782, 250179.00672578215, 246385.00672578215, 224184.11708958412]	[-963085.0336289102, -1027290.7025375043, -856075.5854479203, -1091496.3714460984, -1027290.7025375045]	[-60301.0, -57804.0, -56536.0, -62030.0, -50720.0]	[2399, 16799, 95999, 543999, 603999]
[424362.1238153662, 422664.1238153662, 375922.3445429702, 354976.45490677224, 354757.45490677224, 354416.45490677224, 288506.7859981782, 161349.44818099006]	[-577851.0201773463, -535047.2409049502, -706262.3579945343, -1048692.5921737025, -877477.4750841187, -984486.9232651085, -1284113.378171881, -834673.6958117222]	[-53574.0, -59758.0, -55103.0, -53346.0, -53056.0, -53835.0, -54694.0, -52110.0]	[799, 3199, 4799, 8799, 26399, 61599, 97599, 304799]
[287916.7859981782, 273370.8963619801, 269116.8963619801, 245577.00672578215]	[-1070094.4818099004, -920281.2543565143, -1048692.5921737025, -791869.9165393262]	[-59515.0, -60160.0, -58564.0, -56492.0]	[75199, 328799, 487999, 501599]
