[397717.23417916824, 395441.23417916824, 269355.8963619802, 249860.00672578215, 204505.22745338612, 184186.3378171881, 183167.3378171881]	[-770468.0269031283, -706262.3579945344, -1005888.8129013064, -834673.6958117222, -920281.2543565142, -1155702.0403546928, -1091496.3714460984]	[-55800.0, -56972.0, -61089.0, -58725.0, -61841.0, -46450.0, -57666.0]	[2529, 12649, 17709, 75899, 341549, 728639, 2562889]
[335315.5652705742, 289206.7859981782, 267423.8963619801, 247523.00672578215, 247020.00672578212, 230799.11708958412, 227201.11708958412, 182491.3378171881, 181418.3378171881, 139203.55854479206, 118037.66890859405]	[-749066.1372669303, -984486.9232651083, -727664.2476307323, -834673.6958117223, -941683.1439927124, -1177103.929990891, -663458.5787221383, -834673.6958117225, -920281.2543565143, -599252.9098135442, -1219907.7092632868]	[-57676.0, -57718.0, -56693.0, -60214.0, -56174.0, -57796.0, -54597.0, -59456.0, -60212.0, -57120.0, -59255.0]	[2529, 45539, 80959, 189749, 389619, 473109, 817189, 822249, 3228279, 4483159, 5290229]
[247136.00672578215, 225794.11708958412, 207623.22745338612, 100271.77927239603, 73857.88963619802]	[-1048692.5921737023, -1155702.0403546926, -1241309.5988994848, -898879.3647203163, -1091496.3714460987]	[-58179.0, -53996.0, -58205.0, -55544.0, -58454.0]	[7589, 359259, 607199, 928509, 1229579]
[358563.45490677224, 309431.6756343762, 271874.8963619801, 269955.8963619801, 269161.8963619801, 251725.00672578215, 228824.11708958412, 228497.11708958412, 228389.11708958412, 205115.22745338612, 137784.55854479206, 121877.66890859405]	[-920281.2543565144, -1476730.3848976635, -963085.0336289102, -877477.4750841184, -898879.3647203164, -856075.5854479205, -1048692.5921737023, -1005888.8129013064, -749066.1372669302, -1198505.8196270887, -706262.3579945343, -1241309.5988994853]	[-58063.0, -55534.0, -59323.0, -59654.0, -60762.0, -56338.0, -61039.0, -52108.0, -59215.0, -59196.0, -53012.0, -55205.0]	[5059, 7589, 296009, 356729, 384559, 427569, 647679, 708399, 713459, 928509, 1055009, 3342129]
[313413.6756343762, 290412.7859981782, 224423.11708958412, 160895.44818099006]	[-727664.2476307323, -963085.0336289103, -1005888.8129013063, -1412524.7159890693]	[-56815.0, -54733.0, -60406.0, -55111.0]	[2529, 10119, 202399, 498409]
[334871.5652705742, 334055.5652705742, 314784.6756343762, 313903.67563437624, 294351.7859981782, 266560.8963619801, 248845.00672578215, 229043.11708958412, 225888.11708958412, 205425.22745338612, 205072.22745338612, 161239.44818099006, 141251.55854479206]	[-727664.2476307324, -1177103.9299908907, -1005888.8129013063, -813271.8061755243, -770468.0269031283, -963085.0336289102, -1005888.8129013067, -1198505.8196270887, -1262711.488535683, -1198505.819627089, -1091496.3714460984, -856075.5854479204, -920281.2543565142]	[-53390.0, -57180.0, -56678.0, -60945.0, -56224.0, -57040.0, -59513.0, -56302.0, -59230.0, -57266.0, -58186.0, -54694.0, -60449.0]	[2529, 25299, 43009, 86019, 96139, 197339, 412389, 430099, 789359, 2350369, 3053709, 3612839, 4710859]
[416439.1238153662, 398813.23417916824, 374168.3445429702, 359469.45490677224, 225086.11708958412, 205324.22745338612, 164466.44818099006, 161625.44818099006]	[-963085.0336289103, -1198505.8196270887, -984486.9232651083, -1455328.4952614654, -834673.6958117224, -1027290.7025375044, -1305515.267808079, -1005888.8129013063]	[-59015.0, -56587.0, -58862.0, -54938.0, -55264.0, -56082.0, -54641.0, -56106.0]	[2529, 7589, 10119, 20239, 32889, 1032239, 1958219, 5424319]
[336626.5652705742, 325968.5652705741, 312634.6756343761, 266922.8963619801, 246808.00672578215, 228861.11708958412, 188089.3378171881, 140509.55854479206, 123648.66890859405]	[-856075.5854479203, -984486.9232651084, -770468.0269031283, -1391122.8263528713, -1219907.7092632868, -1027290.7025375043, -834673.6958117222, -1134300.1507184946, -834673.6958117222]	[-54093.0, -53426.0, -52542.0, -55266.0, -53288.0, -59323.0, -52620.0, -57221.0, -55617.0]	[5059, 12649, 20239, 27829, 227699, 817189, 1060069, 1528119, 3678619]
[289216.7859981782, 287827.7859981782, 264357.8963619801, 246599.00672578215, 162763.44818099006, 75734.88963619802]	[-1305515.267808079, -727664.2476307323, -513645.35126875225, -1134300.1507184946, -1284113.378171881, -599252.9098135442]	[-58802.0, -55113.0, -58775.0, -56796.0, -62178.0, -54591.0]	[2529, 83489, 103729, 192279, 951279, 1060069]
[377270.3445429702, 334454.5652705742, 315753.6756343762, 225333.11708958412, 184572.3378171881, 182711.3378171881, 79901.88963619802]	[-877477.4750841183, -898879.3647203163, -834673.6958117223, -1070094.4818099004, -834673.6958117224, -941683.1439927124, -920281.2543565147]	[-55470.0, -59293.0, -62053.0, -65486.0, -58000.0, -57365.0, -57311.0]	[7589, 27829, 30359, 32889, 111319, 2127729, 2196039]
aEAstart2_8_data	[397717.23417916824, 395441.23417916824, 269355.8963619802, 249860.00672578215, 204505.22745338612, 184186.3378171881, 183167.3378171881]	[-770468.0269031283, -706262.3579945344, -1005888.8129013064, -834673.6958117222, -920281.2543565142, -1155702.0403546928, -1091496.3714460984]	[-55800.0, -56972.0, -61089.0, -58725.0, -61841.0, -46450.0, -57666.0]	[2529, 12649, 17709, 75899, 341549, 728639, 2562889]
[335315.5652705742, 289206.7859981782, 267423.8963619801, 247523.00672578215, 247020.00672578212, 230799.11708958412, 227201.11708958412, 182491.3378171881, 181418.3378171881, 139203.55854479206, 118037.66890859405]	[-749066.1372669303, -984486.9232651083, -727664.2476307323, -834673.6958117223, -941683.1439927124, -1177103.929990891, -663458.5787221383, -834673.6958117225, -920281.2543565143, -599252.9098135442, -1219907.7092632868]	[-57676.0, -57718.0, -56693.0, -60214.0, -56174.0, -57796.0, -54597.0, -59456.0, -60212.0, -57120.0, -59255.0]	[2529, 45539, 80959, 189749, 389619, 473109, 817189, 822249, 3228279, 4483159, 5290229]
[247136.00672578215, 225794.11708958412, 207623.22745338612, 100271.77927239603, 73857.88963619802]	[-1048692.5921737023, -1155702.0403546926, -1241309.5988994848, -898879.3647203163, -1091496.3714460987]	[-58179.0, -53996.0, -58205.0, -55544.0, -58454.0]	[7589, 359259, 607199, 928509, 1229579]
[358563.45490677224, 309431.6756343762, 271874.8963619801, 269955.8963619801, 269161.8963619801, 251725.00672578215, 228824.11708958412, 228497.11708958412, 228389.11708958412, 205115.22745338612, 137784.55854479206, 121877.66890859405]	[-920281.2543565144, -1476730.3848976635, -963085.0336289102, -877477.4750841184, -898879.3647203164, -856075.5854479205, -1048692.5921737023, -1005888.8129013064, -749066.1372669302, -1198505.8196270887, -706262.3579945343, -1241309.5988994853]	[-58063.0, -55534.0, -59323.0, -59654.0, -60762.0, -56338.0, -61039.0, -52108.0, -59215.0, -59196.0, -53012.0, -55205.0]	[5059, 7589, 296009, 356729, 384559, 427569, 647679, 708399, 713459, 928509, 1055009, 3342129]
[313413.6756343762, 290412.7859981782, 224423.11708958412, 160895.44818099006]	[-727664.2476307323, -963085.0336289103, -1005888.8129013063, -1412524.7159890693]	[-56815.0, -54733.0, -60406.0, -55111.0]	[2529, 10119, 202399, 498409]
[334871.5652705742, 334055.5652705742, 314784.6756343762, 313903.67563437624, 294351.7859981782, 266560.8963619801, 248845.00672578215, 229043.11708958412, 225888.11708958412, 205425.22745338612, 205072.22745338612, 161239.44818099006, 141251.55854479206]	[-727664.2476307324, -1177103.9299908907, -1005888.8129013063, -813271.8061755243, -770468.0269031283, -963085.0336289102, -1005888.8129013067, -1198505.8196270887, -1262711.488535683, -1198505.819627089, -1091496.3714460984, -856075.5854479204, -920281.2543565142]	[-53390.0, -57180.0, -56678.0, -60945.0, -56224.0, -57040.0, -59513.0, -56302.0, -59230.0, -57266.0, -58186.0, -54694.0, -60449.0]	[2529, 25299, 43009, 86019, 96139, 197339, 412389, 430099, 789359, 2350369, 3053709, 3612839, 4710859]
[416439.1238153662, 398813.23417916824, 374168.3445429702, 359469.45490677224, 225086.11708958412, 205324.22745338612, 164466.44818099006, 161625.44818099006]	[-963085.0336289103, -1198505.8196270887, -984486.9232651083, -1455328.4952614654, -834673.6958117224, -1027290.7025375044, -1305515.267808079, -1005888.8129013063]	[-59015.0, -56587.0, -58862.0, -54938.0, -55264.0, -56082.0, -54641.0, -56106.0]	[2529, 7589, 10119, 20239, 32889, 1032239, 1958219, 5424319]
[336626.5652705742, 325968.5652705741, 312634.6756343761, 266922.8963619801, 246808.00672578215, 228861.11708958412, 188089.3378171881, 140509.55854479206, 123648.66890859405]	[-856075.5854479203, -984486.9232651084, -770468.0269031283, -1391122.8263528713, -1219907.7092632868, -1027290.7025375043, -834673.6958117222, -1134300.1507184946, -834673.6958117222]	[-54093.0, -53426.0, -52542.0, -55266.0, -53288.0, -59323.0, -52620.0, -57221.0, -55617.0]	[5059, 12649, 20239, 27829, 227699, 817189, 1060069, 1528119, 3678619]
[289216.7859981782, 287827.7859981782, 264357.8963619801, 246599.00672578215, 162763.44818099006, 75734.88963619802]	[-1305515.267808079, -727664.2476307323, -513645.35126875225, -1134300.1507184946, -1284113.378171881, -599252.9098135442]	[-58802.0, -55113.0, -58775.0, -56796.0, -62178.0, -54591.0]	[2529, 83489, 103729, 192279, 951279, 1060069]
[377270.3445429702, 334454.5652705742, 315753.6756343762, 225333.11708958412, 184572.3378171881, 182711.3378171881, 79901.88963619802]	[-877477.4750841183, -898879.3647203163, -834673.6958117223, -1070094.4818099004, -834673.6958117224, -941683.1439927124, -920281.2543565147]	[-55470.0, -59293.0, -62053.0, -65486.0, -58000.0, -57365.0, -57311.0]	[7589, 27829, 30359, 32889, 111319, 2127729, 2196039]
