[73539.77927239603, 34216.0, 31264.0, 31217.0, 30061.0, 30044.0, 29653.0, 29549.0, 29500.0, 29345.0, 28771.0, 28102.0, 27438.0]	[-963085.0336289103, -406635.9030877622, -513645.35126875225, -321028.3445429702, -556449.1305411482, -470841.57199635624, -492243.4616325542, -642056.6890859402, -385234.01345156424, -599252.9098135442, -856075.5854479203, -449439.6823601582, -684860.4683583362]	[-26200.0, -33030.0, -28261.0, -29944.0, -28388.0, -29235.0, -31599.0, -28362.0, -29236.0, -28581.0, -31642.0, -32846.0, -29404.0]	[1896, 3793, 18969, 34145, 62600, 138480, 259888, 491322, 762593, 874516, 992130, 1468277, 1963394]
[198700.11708958412, 119403.55854479206, 50381.889636198015, 31275.0, 28189.0, 27144.0]	[-513645.35126875225, -256822.67563437618, -706262.3579945343, -791869.9165393262, -513645.35126875225, -556449.1305411482]	[-33238.0, -28752.0, -31602.0, -28891.0, -26244.0, -34150.0]	[1896, 3793, 5690, 26557, 66394, 1821119]
[32558.0, 28765.0, 27468.0]	[-856075.5854479203, -1027290.7025375043, -642056.6890859402]	[-28762.0, -29098.0, -26308.0]	[1896, 3793, 424927]
[29141.0, 29014.0, 28439.0, 28397.0, 27977.0, 26469.0]	[-941683.1439927123, -727664.2476307323, -556449.1305411482, -599252.9098135442, -492243.46163255424, -577851.0201773462]	[-26386.0, -26031.0, -32222.0, -29218.0, -29175.0, -28214.0]	[15175, 254197, 504601, 1104053, 1382912, 2854984]
[114444.55854479206, 53954.889636198015, 53187.889636198015, 31341.0, 30198.0, 29534.0, 27696.0]	[-513645.35126875225, -235420.78599817815, -299626.45490677224, -406635.9030877622, -727664.2476307323, -599252.9098135442, -449439.6823601583]	[-29836.0, -27563.0, -30158.0, -27053.0, -33670.0, -31497.0, -28445.0]	[3793, 15175, 41733, 45527, 64497, 146068, 307313]
[53112.889636198015, 32252.0, 31073.0, 28409.0, 28325.0, 27655.0, 27301.0]	[-813271.8061755243, -642056.6890859402, -535047.2409049503, -684860.4683583362, -342430.23417916824, -599252.9098135442, -620654.7994497422]	[-29397.0, -27417.0, -30516.0, -29914.0, -31355.0, -28844.0, -27410.0]	[1896, 11381, 73982, 94849, 1326002, 2177755, 2179652]
[72903.77927239603, 32294.0, 31672.0, 30043.0, 29422.0, 28835.0, 28805.0, 28574.0, 28383.0, 27130.0]	[-620654.7994497423, -470841.57199635624, -449439.6823601583, -513645.35126875225, -535047.2409049502, -470841.5719963563, -256822.67563437618, -492243.4616325543, -406635.9030877622, -428037.79272396024]	[-30586.0, -29256.0, -30810.0, -29445.0, -28635.0, -29865.0, -32360.0, -28155.0, -28548.0, -31477.0]	[3793, 13278, 20866, 45527, 166935, 193493, 294034, 608936, 1883720, 2674769]
[117092.55854479206, 94711.66890859405, 31628.0, 30238.0, 29838.0, 29775.0, 29316.0, 27876.0, 27329.0]	[-470841.57199635624, -342430.23417916824, -470841.57199635624, -363832.1238153662, -235420.78599817818, -556449.1305411482, -684860.4683583362, -278224.5652705742, -706262.3579945343]	[-27243.0, -30202.0, -28474.0, -30619.0, -27536.0, -29511.0, -30256.0, -30431.0, -29212.0]	[1896, 3793, 13278, 49321, 354738, 476146, 489425, 514086, 2699430]
[74857.77927239603, 54156.889636198015, 51363.889636198015, 33391.0, 32605.0, 30311.0, 29467.0, 29112.0, 28840.0, 28770.0, 28480.0, 27885.0, 26451.0]	[-941683.1439927123, -813271.8061755243, -406635.9030877622, -556449.1305411482, -770468.0269031283, -256822.67563437618, -470841.57199635624, -363832.1238153662, -727664.2476307323, -577851.0201773463, -642056.6890859404, -556449.1305411482, -727664.2476307323]	[-29443.0, -31427.0, -25828.0, -29979.0, -29450.0, -31762.0, -27770.0, -29796.0, -30492.0, -28549.0, -25483.0, -28561.0, -29667.0]	[1896, 5690, 15175, 62600, 75879, 79673, 168832, 292137, 339562, 404060, 407854, 582378, 660155]
[29427.0, 28966.0, 28872.0, 28726.0, 28246.0, 28109.0]	[-535047.2409049502, -791869.9165393263, -791869.9165393263, -727664.2476307323, -321028.34454297024, -470841.57199635624]	[-27463.0, -28741.0, -29615.0, -26700.0, -29896.0, -31591.0]	[45527, 328180, 692404, 1454998, 1989952, 2488863]
[73539.77927239603, 34216.0, 31264.0, 31217.0, 30061.0, 30044.0, 29653.0, 29549.0, 29500.0, 29345.0, 28771.0, 28102.0, 27438.0]	[-963085.0336289103, -406635.9030877622, -513645.35126875225, -321028.3445429702, -556449.1305411482, -470841.57199635624, -492243.4616325542, -642056.6890859402, -385234.01345156424, -599252.9098135442, -856075.5854479203, -449439.6823601582, -684860.4683583362]	[-26200.0, -33030.0, -28261.0, -29944.0, -28388.0, -29235.0, -31599.0, -28362.0, -29236.0, -28581.0, -31642.0, -32846.0, -29404.0]	[1896, 3793, 18969, 34145, 62600, 138480, 259888, 491322, 762593, 874516, 992130, 1468277, 1963394]
[198700.11708958412, 119403.55854479206, 50381.889636198015, 31275.0, 28189.0, 27144.0]	[-513645.35126875225, -256822.67563437618, -706262.3579945343, -791869.9165393262, -513645.35126875225, -556449.1305411482]	[-33238.0, -28752.0, -31602.0, -28891.0, -26244.0, -34150.0]	[1896, 3793, 5690, 26557, 66394, 1821119]
