[30839.0, 30731.0, 29747.0, 28897.0, 28670.0, 27727.0]	[-556449.1305411482, -449439.6823601582, -727664.2476307323, -449439.6823601582, -428037.79272396024, -620654.7994497423]	[-29658.0, -28547.0, -31132.0, -31127.0, -29496.0, -26633.0]	[1896, 110025, 147965, 267476, 756902, 1033864]
[138675.44818099006, 73095.77927239603, 29886.0, 28476.0, 28116.0, 27769.0, 27461.0]	[-556449.1305411482, -684860.4683583362, -492243.4616325542, -342430.23417916824, -449439.6823601582, -363832.12381536624, -449439.6823601582]	[-26290.0, -27133.0, -29700.0, -30956.0, -32150.0, -31261.0, -28107.0]	[1896, 3793, 22763, 259888, 557717, 1377221, 1669359]
[53694.889636198015, 49307.889636198015, 30021.0, 29779.0, 28426.0, 28191.0, 27813.0, 27793.0]	[-813271.8061755243, -663458.5787221382, -663458.5787221383, -449439.6823601582, -299626.4549067722, -513645.35126875225, -684860.4683583362, -513645.35126875225]	[-36049.0, -30097.0, -29495.0, -27450.0, -31794.0, -30226.0, -28137.0, -29631.0]	[9484, 15175, 32248, 56909, 130892, 1083186, 1276680, 3391835]
[75087.77927239603, 51092.889636198015, 33049.0, 32581.0, 32403.0, 31129.0, 29398.0, 28396.0]	[-321028.34454297024, -428037.79272396024, -513645.35126875225, -492243.4616325542, -856075.5854479203, -856075.5854479203, -599252.9098135442, -535047.2409049502]	[-28377.0, -29625.0, -31397.0, -30852.0, -30570.0, -32773.0, -28411.0, -28897.0]	[5690, 20866, 26557, 41733, 106231, 121407, 153656, 320592]
[49535.889636198015, 30963.0, 29738.0, 28065.0, 27437.0, 27245.0, 27065.0]	[-449439.6823601582, -813271.8061755243, -706262.3579945343, -877477.4750841183, -663458.5787221383, -556449.1305411482, -342430.23417916824]	[-27968.0, -31580.0, -24605.0, -26671.0, -28670.0, -30148.0, -29337.0]	[9484, 17072, 140377, 292137, 969366, 2426262, 2633035]
[30328.0, 29568.0, 28845.0, 28841.0, 28124.0, 27223.0]	[-535047.2409049503, -727664.2476307324, -385234.01345156424, -556449.1305411484, -663458.5787221383, -727664.2476307323]	[-28712.0, -27591.0, -28890.0, -27209.0, -28377.0, -27861.0]	[1896, 125201, 313004, 326283, 495116, 540644]
[54651.889636198015, 33231.0, 29590.0, 29376.0, 28462.0, 27819.0]	[-577851.0201773463, -663458.5787221383, -256822.67563437618, -363832.12381536624, -941683.1439927123, -706262.3579945342]	[-32590.0, -27281.0, -30322.0, -30386.0, -26368.0, -32657.0]	[7587, 9484, 53115, 202978, 512189, 1667462]
[74766.77927239603, 53292.889636198015, 51615.889636198015, 33976.0, 30996.0, 30014.0, 29959.0, 28743.0, 28428.0, 28155.0, 27546.0]	[-813271.8061755243, -642056.6890859402, -385234.01345156424, -513645.35126875225, -984486.9232651083, -535047.2409049502, -599252.9098135442, -428037.79272396024, -492243.46163255424, -513645.35126875225, -428037.79272396024]	[-26813.0, -26382.0, -30657.0, -32911.0, -30249.0, -25741.0, -27869.0, -34249.0, -31984.0, -27637.0, -30282.0]	[3793, 7587, 18969, 28454, 62600, 111922, 146068, 178317, 519777, 593760, 3137637]
[30800.0, 29630.0, 29420.0, 28452.0, 28214.0]	[-256822.67563437618, -470841.57199635624, -684860.4683583362, -663458.5787221382, -556449.1305411484]	[-34013.0, -26531.0, -30454.0, -28050.0, -32118.0]	[28454, 92952, 153656, 453382, 921941]
[29123.0, 29007.0, 27115.0]	[-342430.23417916824, -449439.6823601583, -599252.9098135444]	[-32064.0, -28683.0, -27521.0]	[1896, 952293, 1052834]
